face_id,label,area_poly_px,area_pixels,perimeter_px,n_sides,n_cell_neighbors_multiplicity,n_cell_neighbors_distinct,n_gap_sides,n_holes,touches_border,centroid_row,centroid_col,area_um2,perimeter_um
203,433,1417.1172943115234,1418,169.3382412656252,5,5,5,0,0,False,365.2802506285776,887.7365863531011,,
204,6,1076.7068481445312,1076,140.19687863807331,5,5,5,0,0,False,357.71180054981954,916.3508253569536,,
205,253,1299.90771484375,1300,161.190879655846,5,5,5,0,0,False,355.09132110424696,312.95077912981316,,
206,233,3588.187530517578,3587,271.42523458289475,6,6,6,0,0,False,377.5056106391401,839.4859259672392,,
207,402,1349.2447662353516,1349,140.0268547381898,5,4,4,0,0,True,362.692860743108,1004.1417233945463,,
208,516,3048.0599670410156,3045,258.7709358752963,9,9,9,0,0,False,383.84068209600804,449.0027808316644,,
209,193,686.5237121582031,688,111.4536569962364,4,4,4,0,0,False,362.7354025901999,641.5424339157225,,
210,148,502.3475341796875,504,95.48292359391161,4,4,4,0,0,False,367.8261030801722,769.039836254906,,
211,270,1421.4636688232422,1421,192.8068805543661,5,5,5,0,0,False,386.83824268323116,412.2638234842079,,
212,12,529.6522521972656,531,94.62343209352085,4,4,4,0,0,False,364.3458157982124,562.9322646169751,,
213,109,2019.0497283935547,2018,179.98260825710003,7,6,6,0,0,True,384.6483924044156,21.850697611734493,,
214,413,1127.5081024169922,1128,133.9600317781477,4,4,4,0,0,False,375.34826971520386,394.4142421906331,,
215,568,2129.816619873047,2128,192.36485004093112,7,7,7,0,0,False,394.0058211774375,129.70443059443315,,
216,53,3977.637451171875,3975,319.7918554420137,10,10,10,0,0,False,426.0111131751383,658.0152588519768,,
217,129,1804.8451843261719,1805,171.26166368622185,5,5,5,0,0,False,391.5951668528231,187.6035638862376,,
218,483,2274.9024353027344,2275,212.02354203210376,7,7,7,0,0,False,395.11897091732476,285.9875143230698,,
219,559,1067.7269897460938,1069,133.34679740509597,3,3,3,0,0,False,380.359092348339,740.1683092384949,,
220,543,1217.9856567382812,1219,141.08098516218303,4,4,4,0,0,False,381.19911349767494,68.08621317409226,,
221,452,2358.8937225341797,2359,283.68556954695345,8,8,8,0,0,False,386.14429981578513,618.4294944990031,,
222,635,1360.7209167480469,1362,163.2439155043345,5,5,5,0,0,False,399.90189662336076,100.11055296702641,,
223,606,2839.884506225586,2837,294.6452522628215,10,10,10,0,0,False,396.3092934596735,743.5098703501808,,
224,407,1466.375,1465,156.3432399127821,6,6,6,0,0,False,401.09510227739156,242.962202306328,,
225,480,2709.8302612304688,2708,268.8605605457652,6,5,5,0,0,True,394.576776341466,984.7808690899251,,
226,430,2813.8023986816406,2813,235.66932706251228,8,8,8,0,0,False,410.90502801951027,921.8119013565502,,
227,264,2219.1719818115234,2218,219.3009630139656,6,6,6,0,0,False,411.24835386508465,332.6588467457786,,
228,147,1206.5699005126953,1207,133.71375135672278,5,5,5,0,0,False,397.2369131194237,362.71529592844155,,
