image_id,condition,replicate,statistic,mean,ci_lo,ci_hi,n_hypotheses_total,ess
EGM2_regular_6dyn-87,6dyne,rep 3,reticular_fraction,0.221893978538,0.220064724919,0.223300970874,32,4
EGM2_regular_6dyn-87,6dyne,rep 3,area_degree_spearman,0.768264946494,0.766973821506,0.774670137864,32,4
EGM2_regular_6dyn-87,6dyne,rep 3,all_reticular_3clique_enrichment_z,-0.917275140909,-0.954077336831,-0.866777809416,32,4
EGM2_regular_6dyn-88,6dyne,rep 3,reticular_fraction,0.241439632779,0.231003039514,0.243076923077,32,4
EGM2_regular_6dyn-88,6dyne,rep 3,area_degree_spearman,0.78433100799,0.775874240345,0.796106422396,32,4
EGM2_regular_6dyn-88,6dyne,rep 3,all_reticular_3clique_enrichment_z,-0.615433753032,-0.666779143628,-0.449169859685,32,4
EGM2_regular_6dyn-89,6dyne,rep 3,reticular_fraction,0.161018610906,0.160112359551,0.162393162393,32,4
EGM2_regular_6dyn-89,6dyne,rep 3,area_degree_spearman,0.834573115456,0.82397590199,0.841842059664,32,4
EGM2_regular_6dyn-89,6dyne,rep 3,all_reticular_3clique_enrichment_z,-1.07853748295,-1.12133771518,-1.03076058995,32,4
EGM2_regular_6dyn-90,6dyne,rep 3,reticular_fraction,0.159066714854,0.153846153846,0.162087912088,32,4
EGM2_regular_6dyn-90,6dyne,rep 3,area_degree_spearman,0.827011355459,0.822211472629,0.836073240675,32,4
EGM2_regular_6dyn-90,6dyne,rep 3,all_reticular_3clique_enrichment_z,-1.03278641012,-1.07700673737,-0.975724512951,32,4
EGM2_regular_static-11,static,rep 1,reticular_fraction,0.127623326604,0.127450980392,0.128078817734,32,4
EGM2_regular_static-11,static,rep 1,area_degree_spearman,0.788603805223,0.779691098155,0.802103319913,32,4
EGM2_regular_static-11,static,rep 1,all_reticular_3clique_enrichment_z,-0.798164455647,-0.856421247231,-0.781004725845,32,4
EGM2_regular_static-12,static,rep 1,reticular_fraction,0.137658908373,0.136950904393,0.138381201044,32,4
EGM2_regular_static-12,static,rep 1,area_degree_spearman,0.745245421394,0.73659902659,0.763013171373,32,4
EGM2_regular_static-12,static,rep 1,all_reticular_3clique_enrichment_z,-0.799365794357,-0.833684787061,-0.784826315844,32,4
EGM2_regular_static-13,static,rep 1,reticular_fraction,0.146595290866,0.146596858639,0.146981627297,32,4
EGM2_regular_static-13,static,rep 1,area_degree_spearman,0.788276638895,0.781657231056,0.789380643018,32,4
EGM2_regular_static-13,static,rep 1,all_reticular_3clique_enrichment_z,0.24897476951,0.180106513387,0.275586878343,32,4
EGM2_regular_static-14,static,rep 1,reticular_fraction,0.109568796539,0.10843373494,0.110024449878,32,4
EGM2_regular_static-14,static,rep 1,area_degree_spearman,0.650418323014,0.634707551467,0.662920199273,32,4
EGM2_regular_static-14,static,rep 1,all_reticular_3clique_enrichment_z,-0.584480513379,-0.61492228398,-0.570105752794,32,4
EGM2_regular_static-15,static,rep 1,reticular_fraction,0.128222478647,0.127403846154,0.129268292683,28,4
EGM2_regular_static-15,static,rep 1,area_degree_spearman,0.654344901674,0.649493831451,0.661228862394,28,4
EGM2_regular_static-15,static,rep 1,all_reticular_3clique_enrichment_z,-0.767653266772,-0.803097984148,-0.741096472735,28,4
EGM2_regular_static-16,static,rep 1,reticular_fraction,0.166362898163,0.164772727273,0.167630057803,32,4
EGM2_regular_static-16,static,rep 1,area_degree_spearman,0.716836707491,0.711330738914,0.723634787657,32,4
EGM2_regular_static-16,static,rep 1,all_reticular_3clique_enrichment_z,-1.03946879991,-1.08112334546,-1.01310587188,32,4
EGM2_regular_static-17,static,rep 1,reticular_fraction,0.155777324849,0.154963680387,0.156479217604,32,4
EGM2_regular_static-17,static,rep 1,area_degree_spearman,0.657557118882,0.638730773352,0.669301629901,32,4
EGM2_regular_static-17,static,rep 1,all_reticular_3clique_enrichment_z,0.92144660329,0.881140039663,0.97142917626,32,4
EGM2_regular_static-18,static,rep 1,reticular_fraction,0.154967797747,0.152,0.165333333333,32,4
EGM2_regular_static-18,static,rep 1,area_degree_spearman,0.730162433168,0.722845658212,0.736158147729,32,4
EGM2_regular_static-18,static,rep 1,all_reticular_3clique_enrichment_z,-0.96687679774,-1.0753475898,-0.93742297087,32,4
EGM2_regular_static-19,static,rep 1,reticular_fraction,0.142661676179,0.141860465116,0.143192488263,32,4
EGM2_regular_static-19,static,rep 1,area_degree_spearman,0.687178197265,0.666449675901,0.695045008702,32,4
EGM2_regular_static-19,static,rep 1,all_reticular_3clique_enrichment_z,-0.910378596908,-0.927205996112,-0.871413731881,32,4
EGM2_regular_static-20,static,rep 1,reticular_fraction,0.0939726435863,0.0932400932401,0.0941176470588,32,4
EGM2_regular_static-20,static,rep 1,area_degree_spearman,0.717396619477,0.704451214125,0.728770163179,32,4
EGM2_regular_static-20,static,rep 1,all_reticular_3clique_enrichment_z,-0.480333372884,-0.506056992851,-0.469456808287,32,4
EGM2_regular_static-31,static,rep 2,reticular_fraction,0.173119721162,0.172413793103,0.174262734584,32,4
EGM2_regular_static-31,static,rep 2,area_degree_spearman,0.771101028324,0.766694264471,0.779407771086,32,4
EGM2_regular_static-31,static,rep 2,all_reticular_3clique_enrichment_z,-0.297882647958,-0.323532156339,-0.22893493165,32,4
EGM2_regular_static-32,static,rep 2,reticular_fraction,0.116932970626,0.116033755274,0.117647058824,32,4
EGM2_regular_static-32,static,rep 2,area_degree_spearman,0.758809642803,0.751291359212,0.768980784674,32,4
EGM2_regular_static-32,static,rep 2,all_reticular_3clique_enrichment_z,-0.70466868402,-0.728493969316,-0.695542086015,32,4
EGM2_regular_static-33,static,rep 2,reticular_fraction,0.0810495742755,0.0807174887892,0.0812641083521,30,4
EGM2_regular_static-33,static,rep 2,area_degree_spearman,0.756692449289,0.749986622072,0.758330478214,30,4
EGM2_regular_static-33,static,rep 2,all_reticular_3clique_enrichment_z,2.1591020826,2.10178418765,2.35432886359,30,4
EGM2_regular_static-34,static,rep 2,reticular_fraction,0.102382637998,0.102161100196,0.10297029703,32,4
EGM2_regular_static-34,static,rep 2,area_degree_spearman,0.691681565139,0.67467278485,0.696982223991,32,4
