cell_i,cell_j,edge_id,component_index,face_i,face_j,contact_px,arclength_um,iface_cy,iface_cx,n_components,arclength_px,n_bins,mean_intensity,max_intensity,occupancy,continuity,n_segments,gap_fraction,width_mean_px,width_cv,left_intensity,right_intensity,threshold,AJ_occupancy,AJ_mean_intensity,AJ_max_intensity,AJ_skeleton_len,AJ_cluster_count,AJ_cluster_density,AJ_thickness_proxy,AJ_morph_label,aj_morph,aj_occupancy,has_AJ,AJ_threshold
113,631,804,0,279,230,18.32805696205811,,473.28125,1009.71875,1,18.32805696205811,18,740.8274190036043,1333.4964305974834,0.23809523809523808,0.4444444444444444,3,0.33333333333333337,2.5,0.5033222956847166,705.2816412004727,705.1458296414565,874.8116629984961,0.23809523809523808,740.8274190036043,1333.4964305974834,4.363823086204311,3,0.1636834720783802,2.5,discontinuous,discontinuous,0.23809523809523808,True,874.8116629984961
111,189,805,0,259,274,42.51514127973246,,489.171875,556.828125,1,42.51514127973246,43,833.1716008164838,1565.788545381054,0.3654485049833887,0.9069767441860465,2,0.023255813953488413,2.619047619047619,0.5396662574420301,791.9688159463184,800.680946488497,874.8116629984961,0.3654485049833887,833.1716008164838,1565.788545381054,15.537094819835783,2,0.04704206406938195,2.619047619047619,punctate,punctate,0.3654485049833887,True,874.8116629984961
47,168,806,0,277,275,22.01483382321684,,480.16796875,772.83203125,1,22.01483382321684,22,967.7936529875876,2210.231918567706,0.5324675324675324,1.0,1,0.0,3.727272727272727,0.3634064494085693,908.9361740727471,877.1453476087431,874.8116629984961,0.5324675324675324,967.7936529875876,2210.231918567706,11.722184243531043,1,0.04542391771067562,3.727272727272727,thick,thick,0.5324675324675324,True,874.8116629984961
267,365,807,0,263,273,53.87295869552513,,492.75,453.25,1,53.87295869552513,54,746.7829762872034,1671.8601885283456,0.20899470899470898,0.3333333333333333,4,0.2407407407407407,1.9268292682926829,0.4640582982233762,714.540018856497,710.1451169649276,874.8116629984961,0.20899470899470898,746.7829762872034,1671.8601885283456,11.259163325255251,4,0.07424875293385833,1.9268292682926829,discontinuous,discontinuous,0.20899470899470898,True,874.8116629984961
42,295,808,0,253,280,6.129688755600806,,470.86328125,821.86328125,1,6.129688755600806,6,1130.277609669063,1515.232269935082,0.8333333333333334,1.0,1,0.0,5.833333333333333,0.1178030178747903,1263.4768176577704,949.8172271653904,874.8116629984961,0.8333333333333334,1130.277609669063,1515.232269935082,5.108073963000671,1,0.16314042031681988,5.833333333333333,thick,thick,0.8333333333333334,True,874.8116629984961
74,295,809,0,247,280,26.70131703841781,,481.75,831.25,1,26.70131703841781,27,1271.433675176948,2224.3341487280213,0.8677248677248677,1.0,1,0.0,6.074074074074074,0.1261473223510805,1237.8979243230394,1204.9989212948935,874.8116629984961,0.8677248677248677,1271.433675176948,2224.3341487280213,23.16939679524085,1,0.03745133614799606,6.074074074074074,thick,thick,0.8677248677248677,True,874.8116629984961
153,280,810,0,276,264,38.31027301167259,,486.16796875,42.83203125,1,38.31027301167259,38,760.8566657816925,1257.1830724190681,0.2669172932330827,0.34210526315789475,4,0.21052631578947367,2.3666666666666667,0.4151944499432021,720.984355970972,729.5324819517834,874.8116629984961,0.2669172932330827,760.8566657816925,1257.1830724190681,10.225674375296068,4,0.10441063677048862,2.3666666666666667,discontinuous,discontinuous,0.2669172932330827,True,874.8116629984961
55,295,811,0,266,280,10.129688755600807,,477.46484375,819.46484375,1,10.129688755600807,10,1270.4517961359163,1931.7055742475359,0.9571428571428572,1.0,1,0.0,6.7,0.06839665216352,1300.0023242437865,1195.943489959891,874.8116629984961,0.9571428571428572,1270.4517961359163,1931.7055742475359,9.69555923750363,1,0.09871971628418395,6.7,thick,thick,0.9571428571428572,True,874.8116629984961
148,298,812,0,281,257,28.997559148961077,,482.35546875,324.64453125,1,28.997559148961077,29,925.5099259760327,1926.359963188026,0.5073891625615764,1.0,1,0.0,3.5517241379310347,0.47681666632266695,885.3100312888333,853.464762563233,874.8116629984961,0.5073891625615764,925.5099259760327,1926.359963188026,14.71304725292114,1,0.03448566118489418,3.5517241379310347,thick,thick,0.5073891625615764,True,874.8116629984961
148,529,813,0,281,255,35.29450120226521,,487.75390625,305.75390625,1,35.29450120226521,35,778.2667120762462,1312.3188564802874,0.27346938775510204,0.34285714285714286,5,0.22857142857142854,2.4814814814814814,0.6044315442184056,771.7608355285399,729.0964807543888,874.8116629984961,0.27346938775510204,778.2667120762462,1312.3188564802874,9.65196563490518,5,0.14166512713541618,2.4814814814814814,discontinuous,discontinuous,0.27346938775510204,True,874.8116629984961
