tile,n_ref_vertices,n_pred_vertices,n_matched,n_missed,n_spurious,weighted_frac,set
data/tiles/gt_haec_train/field_00138_r0688_c0000.npz,3,1,0,3,1,0.0029335021972656,haec
data/tiles/gt_haec_train/field_00139_r0400_c0688.npz,5,3,0,5,3,0.0060081481933593,haec
data/tiles/gt_haec_train/field_00140_r0400_c0400.npz,7,1,0,7,1,0.006011962890625,haec
data/tiles/gt_haec_train/field_00141_r0400_c0000.npz,0,2,0,0,2,0.0015029907226562,haec
data/tiles/gt_haec_train/field_00142_r0000_c0688.npz,9,7,3,6,4,0.0073699951171875,haec
data/tiles/gt_haec_train/field_00143_r0000_c0400.npz,8,5,1,7,4,0.0079879760742187,haec
data/tiles/gt_haec_train/field_00144_r0000_c0000.npz,8,4,1,7,3,0.0067596435546875,haec
data/tiles/gt_haec_train/field_00144_r0688_c0688.npz,3,1,0,3,1,0.0025215148925781,haec
data/tiles/gt_haec_train/field_00145_r0688_c0400.npz,5,4,0,5,4,0.0056724548339843,haec
data/tiles/gt_haec_train/field_00146_r0688_c0000.npz,3,0,0,3,0,0.0022544860839843,haec
data/tiles/gt_haec_train/field_00147_r0400_c0688.npz,5,1,1,4,0,0.0030059814453125,haec
data/tiles/gt_haec_train/field_00148_r0400_c0400.npz,11,3,0,11,3,0.0098915100097656,haec
data/tiles/gt_haec_train/field_00149_r0400_c0000.npz,5,2,0,5,2,0.0052604675292968,haec
data/tiles/gt_haec_train/field_00150_r0000_c0688.npz,6,4,0,6,4,0.0071296691894531,haec
data/tiles/gt_haec_train/field_00151_r0000_c0400.npz,5,9,2,3,7,0.0069999694824218,haec
data/tiles/gt_haec_train/field_00152_r0000_c0000.npz,2,3,1,1,2,0.0022544860839843,haec
data/tiles/gt_haec_train/field_00152_r0688_c0688.npz,5,7,3,2,4,0.0041084289550781,haec
data/tiles/gt_haec_train/field_00153_r0688_c0400.npz,5,5,1,4,4,0.0055923461914062,haec
data/tiles/gt_haec_train/field_00154_r0688_c0000.npz,5,3,1,4,2,0.0034980773925781,haec
data/tiles/gt_haec_train/field_00155_r0400_c0688.npz,8,4,2,6,2,0.0054206848144531,haec
data/tiles/gt_haec_train/field_00156_r0400_c0400.npz,7,6,1,6,5,0.0069160461425781,haec
data/tiles/gt_haec_train/field_00157_r0400_c0000.npz,5,5,0,5,5,0.0069999694824218,haec
data/tiles/gt_haec_train/field_00158_r0000_c0688.npz,6,6,1,5,5,0.0069389343261718,haec
data/tiles/gt_haec_train/field_00159_r0000_c0400.npz,5,4,1,4,3,0.0042495727539062,haec
data/tiles/gt_haec_train/field_00160_r0000_c0000.npz,10,12,4,6,8,0.0097465515136718,haec
data/tiles/gt_haec_train/field_00160_r0688_c0688.npz,7,8,0,7,8,0.0100860595703125,haec
data/tiles/gt_haec_train/field_00161_r0688_c0400.npz,3,2,1,2,1,0.0020980834960937,haec
data/tiles/gt_haec_train/field_00162_r0688_c0000.npz,6,1,0,6,1,0.004974365234375,haec
data/tiles/gt_haec_train/field_00163_r0400_c0688.npz,22,31,8,14,23,0.0239830017089843,haec
data/tiles/gt_haec_train/field_00164_r0400_c0400.npz,26,27,7,19,20,0.0238876342773437,haec
data/tiles/gt_haec_train/field_00165_r0400_c0000.npz,23,40,10,13,30,0.0277061462402343,haec
data/tiles/gt_haec_train/field_00166_r0000_c0688.npz,34,37,16,18,21,0.0255699157714843,haec
data/tiles/gt_haec_train/field_00167_r0000_c0400.npz,33,33,6,27,27,0.0336112976074218,haec
